Percentile,FlowSize,UCMP-dcqcn-fct_p50,UCMP-dcqcn-fct_p99
0.0,3723,4.80082,6.06122
0.05,6993,4.80324,6.07265
0.1,10684,4.86918,6.05168
0.15,20225,4.80078,6.02647
0.2,25133,4.83996,6.08089
0.25,30095,4.8383,6.11867
0.3,41164,4.81795,6.14293
0.35,50128,4.83639,6.11365
0.4,63027,4.9161,6.10698
0.45,73091,4.88871,6.15401
0.5,112185,4.89037,6.15816
0.55,197097,5.03025,6.34372
0.6,591305,5.30343,7.15647
0.65,1000709,5.97417,7.71749
0.7,1535744,6.75648,9.14919
0.75,2027771,7.15159,11.1499
0.8,3345517,9.09056,17.6876
0.85,4938278,12.9603,18.3926
0.9,8292122,15.3845,22.4609
0.95,29890517,17.1694,25.2539
