Percentile,FlowSize,Ours-dcqcn-fct_p50,Ours-dcqcn-fct_p99
0.0,3533,2.76292,4.96645
0.05,6784,2.72951,4.97496
0.1,9717,2.79636,4.98102
0.15,17948,2.83453,5.01581
0.2,24146,3.23711,5.02303
0.25,29174,2.85399,5.06142
0.3,38947,2.82561,5.06402
0.35,48521,3.08221,5.08898
0.4,59859,3.31465,5.14959
0.45,71535,2.99516,5.20606
0.5,104001,3.09775,5.2762
0.55,192392,3.39699,5.60508
0.6,543411,4.20312,6.68383
0.65,975205,5.91185,10.3601
0.7,1500577,8.45374,15.0778
0.75,2131318,12.182,20.3249
0.8,3429510,16.0642,34.1263
0.85,4902278,20.5825,37.9571
0.9,8255895,24.231,41.7349
0.95,29364134,28.5036,40.743
