Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,3533,2.76292,4.96645,3.20332,5.7521,4.78679,5.99367
0.05,6784,2.72951,4.97496,3.28089,5.78942,4.77099,6.04859
0.1,9717,2.79636,4.98102,3.33553,5.84062,4.82436,6.02095
0.15,17948,2.83453,5.01581,3.23322,5.9563,4.82628,6.0504
0.2,24146,3.23711,5.02303,3.24349,5.73573,4.86461,6.08085
0.25,29174,2.85399,5.06142,3.43688,5.98988,4.97628,6.14683
0.3,38947,2.82561,5.06402,3.27863,5.96512,4.90519,6.15723
0.35,48521,3.08221,5.08898,3.38793,5.82885,4.92545,6.18738
0.4,59859,3.31465,5.14959,3.51422,6.09805,4.94371,6.21205
0.45,71535,2.99516,5.20606,3.48861,6.05953,5.02607,6.27002
0.5,104001,3.09775,5.2762,3.5291,6.13627,5.06571,6.37582
0.55,192392,3.39699,5.60508,3.66217,6.64581,5.29723,6.75166
0.6,543411,4.20312,6.68383,4.3058,7.49898,6.03822,8.14715
0.65,975205,5.91185,10.3601,5.99478,10.647,7.27522,10.7547
0.7,1500577,8.45374,15.0778,9.14056,17.1387,9.59916,17.1841
0.75,2131318,12.182,20.3249,12.2706,20.1331,14.1959,18.7635
0.8,3429510,16.0642,34.1263,16.7121,31.9696,17.5304,24.1672
0.85,4902278,20.5825,37.9571,21.4576,38.4203,22.924,29.682
0.9,8255895,24.231,41.7349,25.2491,41.3179,26.3037,38.2598
0.95,29364134,28.5036,40.743,29.4322,40.8613,30.7824,38.0332
