Percentile,FlowSize,ECMP-dcqcn-fct_p50,ECMP-dcqcn-fct_p99
0.0,3256,3.32819,5.93166
0.05,6542,3.42055,5.88837
0.1,9914,3.44023,5.94234
0.15,19747,3.42799,6.04145
0.2,24719,3.58914,6.08583
0.25,29302,3.61178,6.0909
0.3,38403,3.59474,6.48182
0.35,48081,3.67557,6.48098
0.4,59345,3.79501,6.4323
0.45,70815,3.73305,6.46
0.5,101728,3.87441,7.03666
0.55,186633,4.34222,8.32314
0.6,553687,5.62237,11.6808
0.65,944202,10.7297,19.1977
0.7,1438874,15.7719,30.6607
0.75,1959688,20.5293,42.3797
0.8,3368875,29.3532,53.7949
0.85,4902137,39.0704,63.1005
0.9,8510883,47.1153,71.7688
0.95,29961509,51.9175,70.6022
