Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,3256,2.74543,4.96799,3.32819,5.93166,4.79732,5.98602
0.05,6542,2.76626,4.97958,3.42055,5.88837,4.84244,6.02065
0.1,9914,2.76547,5.02793,3.44023,5.94234,4.83303,6.03328
0.15,19747,2.83144,5.06338,3.42799,6.04145,4.87227,6.11375
0.2,24719,2.89571,5.12338,3.58914,6.08583,4.91814,6.13408
0.25,29302,2.89653,5.22801,3.61178,6.0909,4.98215,6.25843
0.3,38403,3.19861,5.2646,3.59474,6.48182,5.0229,6.35165
0.35,48081,3.37318,5.41085,3.67557,6.48098,5.07128,6.44697
0.4,59345,3.25337,5.37646,3.79501,6.4323,5.14464,6.63576
0.45,70815,3.39652,5.73892,3.73305,6.46,5.20112,6.6361
0.5,101728,3.36965,6.1692,3.87441,7.03666,5.28148,7.00041
0.55,186633,4.08131,6.85863,4.34222,8.32314,5.7838,7.63599
0.6,553687,5.30307,11.0717,5.62237,11.6808,7.04689,11.5134
0.65,944202,10.3105,15.9067,10.7297,19.1977,11.9223,18.2611
0.7,1438874,14.8373,21.88,15.7719,30.6607,16.4405,24.3173
0.75,1959688,19.7761,27.3217,20.5293,42.3797,21.1753,30.5219
0.8,3368875,27.4243,37.8546,29.3532,53.7949,27.688,44.4992
0.85,4902137,37.4616,48.6342,39.0704,63.1005,35.7599,57.5502
0.9,8510883,44.6086,61.292,47.1153,71.7688,44.3135,64.4491
0.95,29961509,49.743,61.8251,51.9175,70.6022,46.7585,64.7763
