Percentile,FlowSize,ECMP-dcqcn-fct_p50,ECMP-dcqcn-fct_p99
0.0,3438,13.9724,50.0742
0.05,6948,13.3999,50.0692
0.1,10687,14.9808,50.001
0.15,20190,13.6056,50.1281
0.2,25487,13.9878,49.9585
0.25,31206,12.6678,49.9465
0.3,41522,13.1155,50.0936
0.35,51553,12.8713,50.0602
0.4,62504,13.5989,50.3059
0.45,75184,13.0487,50.3568
0.5,123861,14.1988,50.2753
0.55,243242,13.1925,50.3288
0.6,643201,14.0791,51.6343
0.65,1092237,14.6898,51.8722
0.7,1577545,16.0527,51.8451
0.75,2118964,16.9408,54.4312
0.8,3524481,19.1417,54.4291
0.85,5133079,22.3426,57.5362
0.9,8784623,23.4138,57.0197
0.95,29552825,23.1053,54.1301
