Percentile,FlowSize,Ours-dcqcn-fct_p50,Ours-dcqcn-fct_p99
0.0,3438,4.72794,13.2264
0.05,6948,4.56024,13.6984
0.1,10687,4.14018,12.7231
0.15,20190,4.34006,12.832
0.2,25487,4.44346,12.8047
0.25,31206,4.5067,12.8414
0.3,41522,4.52864,12.8119
0.35,51553,4.28852,12.6978
0.4,62504,4.04414,12.8418
0.45,75184,4.63176,12.7913
0.5,123861,4.53026,12.7539
0.55,243242,4.98939,13.8008
0.6,643201,4.57298,13.3814
0.65,1092237,4.23309,13.4774
0.7,1577545,4.9221,13.3615
0.75,2118964,4.89672,13.6375
0.8,3524481,4.91903,13.7348
0.85,5133079,5.57711,14.3462
0.9,8784623,5.89803,14.9778
0.95,29552825,6.86014,15.1846
