Percentile,FlowSize,UCMP-dcqcn-fct_p50,UCMP-dcqcn-fct_p99
0.0,3438,28.2608,50.9847
0.05,6948,28.2608,51.0222
0.1,10687,28.2797,50.9906
0.15,20190,28.2301,50.9998
0.2,25487,28.2631,51.0014
0.25,31206,28.2685,51.0285
0.3,41522,28.2342,50.9819
0.35,51553,28.2571,50.9965
0.4,62504,28.2404,50.9717
0.45,75184,28.2429,50.9768
0.5,123861,28.2539,50.9612
0.55,243242,28.2208,50.91
0.6,643201,28.096,50.8549
0.65,1092237,27.9663,50.6763
0.7,1577545,27.8715,50.4934
0.75,2118964,27.6791,50.3877
0.8,3524481,27.4386,50.2172
0.85,5133079,27.0248,49.7795
0.9,8784623,26.5837,48.4094
0.95,29552825,24.1284,46.9803
