Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,3438,4.72794,13.2264,13.9724,50.0742,28.2608,50.9847
0.05,6948,4.56024,13.6984,13.3999,50.0692,28.2608,51.0222
0.1,10687,4.14018,12.7231,14.9808,50.001,28.2797,50.9906
0.15,20190,4.34006,12.832,13.6056,50.1281,28.2301,50.9998
0.2,25487,4.44346,12.8047,13.9878,49.9585,28.2631,51.0014
0.25,31206,4.5067,12.8414,12.6678,49.9465,28.2685,51.0285
0.3,41522,4.52864,12.8119,13.1155,50.0936,28.2342,50.9819
0.35,51553,4.28852,12.6978,12.8713,50.0602,28.2571,50.9965
0.4,62504,4.04414,12.8418,13.5989,50.3059,28.2404,50.9717
0.45,75184,4.63176,12.7913,13.0487,50.3568,28.2429,50.9768
0.5,123861,4.53026,12.7539,14.1988,50.2753,28.2539,50.9612
0.55,243242,4.98939,13.8008,13.1925,50.3288,28.2208,50.91
0.6,643201,4.57298,13.3814,14.0791,51.6343,28.096,50.8549
0.65,1092237,4.23309,13.4774,14.6898,51.8722,27.9663,50.6763
0.7,1577545,4.9221,13.3615,16.0527,51.8451,27.8715,50.4934
0.75,2118964,4.89672,13.6375,16.9408,54.4312,27.6791,50.3877
0.8,3524481,4.91903,13.7348,19.1417,54.4291,27.4386,50.2172
0.85,5133079,5.57711,14.3462,22.3426,57.5362,27.0248,49.7795
0.9,8784623,5.89803,14.9778,23.4138,57.0197,26.5837,48.4094
0.95,29552825,6.86014,15.1846,23.1053,54.1301,24.1284,46.9803
