Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,3438,7.2494,30.4955,10.9937,50.0741,28.2608,50.9842
0.05,6948,7.22477,30.5183,10.5447,50.0692,28.2608,51.0222
0.1,10687,7.27463,27.5983,10.8044,49.9933,28.2797,50.9919
0.15,20190,7.16442,30.4926,10.7965,50.1471,28.2301,50.9998
0.2,25487,7.36132,30.4814,11.0619,49.9585,28.2631,51.0014
0.25,31206,7.18709,27.4786,10.2048,49.9464,28.2685,51.0285
0.3,41522,7.23679,27.5875,10.6826,50.093,28.2342,50.9818
0.35,51553,7.0381,30.5756,10.5033,50.0602,28.2571,50.9965
0.4,62504,7.21625,30.5535,10.7189,50.3059,28.2404,50.9717
0.45,75184,7.26739,26.1093,10.6104,50.3568,28.2429,50.9768
0.5,123861,7.26127,27.5922,10.83,50.2742,28.2539,50.9625
0.55,243242,7.52285,30.5442,10.8219,50.3273,28.2208,50.9088
0.6,643201,7.25593,30.1697,10.9744,51.64,28.096,50.8535
0.65,1092237,7.38877,30.2283,11.1561,51.8877,27.9663,50.6763
0.7,1577545,7.09602,27.4541,13.0055,51.8897,27.8715,50.4934
0.75,2118964,7.43644,30.3894,14.1159,54.5238,27.6791,50.3877
0.8,3524481,7.23567,27.2107,15.7443,54.7756,27.4386,50.2153
0.85,5133079,7.6739,29.1283,18.8346,57.7673,27.0248,49.8155
0.9,8784623,7.30145,29.025,21.2742,58.5332,26.5853,48.4094
0.95,29552825,6.95902,25.0719,20.9375,55.5534,24.1284,46.9944
