Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,3438,7.2121,30.54,10.9971,50.089,28.2956,50.8987
0.05,6948,7.19653,30.5011,10.5542,50.1675,28.301,50.9102
0.1,10687,7.26581,30.4996,10.828,50.1918,28.2991,50.8978
0.15,20190,7.06402,30.5107,10.9483,50.039,28.2638,50.907
0.2,25487,7.23239,30.4999,11.1019,49.9687,28.2714,50.9088
0.25,31206,7.05083,27.5902,10.4114,49.9465,28.2881,50.9071
0.3,41522,7.13027,27.5859,10.7802,50.1397,28.2688,50.8635
0.35,51553,6.84039,30.5682,10.6532,50.0554,28.2826,50.8978
0.4,62504,7.13395,30.5699,10.7814,50.2965,28.2665,50.8771
0.45,75184,7.33298,27.6103,10.7276,50.4644,28.2561,50.8833
0.5,123861,7.30565,30.4634,10.9315,50.3784,28.2821,50.8774
0.55,243242,7.41204,30.5384,10.9871,50.3955,28.2621,50.8586
0.6,643201,7.14513,30.4718,11.1836,52.0557,28.2039,50.894
0.65,1092237,7.35404,30.4817,11.669,52.3699,28.0569,50.7541
0.7,1577545,7.18408,27.9036,13.7242,52.782,27.9683,50.8014
0.75,2118964,7.77969,30.6861,14.6979,55.0823,27.8268,50.9207
0.8,3524481,7.62556,29.9323,17.2272,55.4724,27.7281,50.8257
0.85,5133079,7.81703,30.5184,20.4769,59.6906,27.4083,50.5446
0.9,8784623,7.448,29.8133,22.7232,60.3511,27.2998,49.2935
0.95,29552825,7.36042,26.753,22.0778,57.613,24.4862,48.2768
