Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,3438,7.26928,27.5854,10.9938,50.024,28.2851,50.9975
0.05,6948,7.27678,30.5529,10.5206,50.0684,28.2805,51.0292
0.1,10687,7.25405,27.5962,10.8134,50.001,28.284,51.0073
0.15,20190,7.18523,30.5641,10.7869,50.1378,28.2479,51.0095
0.2,25487,7.427,30.4961,10.9994,49.9528,28.2767,51.0102
0.25,31206,7.17724,27.5481,10.224,49.9464,28.2837,51.0109
0.3,41522,7.27008,27.573,10.6619,50.1048,28.2612,50.9984
0.35,51553,6.97275,30.553,10.5158,49.9707,28.2759,51.009
0.4,62504,7.21392,30.5739,10.7367,50.3149,28.2615,50.9736
0.45,75184,7.31653,27.5005,10.5777,50.4086,28.2515,50.9611
0.5,123861,7.27008,30.5043,10.7862,50.2686,28.274,50.9773
0.55,243242,7.5479,30.5495,10.8993,50.2992,28.2375,50.9405
0.6,643201,7.19313,30.3765,10.976,51.6702,28.1338,50.8666
0.65,1092237,7.41398,30.2809,11.2276,51.9614,28.0144,50.7291
0.7,1577545,7.07996,27.4195,13.079,52.0204,27.8935,50.7058
0.75,2118964,7.65628,30.4929,14.2506,54.6014,27.7082,50.6516
0.8,3524481,7.3777,27.1631,15.9497,54.7946,27.519,50.3984
0.85,5133079,7.66816,29.9983,19.2113,58.0493,27.1923,50.2241
0.9,8784623,7.34271,29.2532,22.0502,58.6153,26.8048,48.8614
0.95,29552825,6.99874,25.7659,22.9796,70.4707,24.2543,47.2045
