Percentile,FlowSize,w_dl=3-w_bw=1-fct_p50,w_dl=3-w_bw=1-fct_p99,w_dl=2-w_bw=2-fct_p50,w_dl=2-w_bw=2-fct_p99,w_dl=1-w_bw=3-fct_p50,w_dl=1-w_bw=3-fct_p99
0,3438,6.73401,14.1527,8.01756,30.5125,25.2545,50.2102
0.05,6948,6.67227,15.1662,7.81974,30.5085,26.0339,50.1565
0.1,10687,6.74227,15.5238,7.99705,30.5027,26.0087,50.1754
0.15,20190,6.52858,13.5319,7.993,30.4992,25.9853,50.1707
0.2,25512,6.62741,12.9372,8.03501,30.5163,25.988,50.162
0.25,31225,6.76599,16.5397,7.99201,30.4924,26.0169,50.151
0.3,41522,6.61085,12.8865,7.99102,30.4934,26.114,50.1559
0.35,51553,6.11238,12.5957,7.63593,30.4781,25.9944,50.1165
0.4,62504,6.69161,13.3062,7.99808,30.4907,26.0281,50.1293
0.45,75185,6.74721,16.4075,8.01213,30.4739,26.0106,50.1172
0.5,123959,6.737,16.8391,7.98261,30.4708,25.9942,50.1317
0.55,244574,6.80511,14.2731,7.98707,30.4423,25.9303,50.0423
0.6,644071,6.59916,14.2421,7.91715,30.3242,26.0043,49.8346
0.65,1092237,6.91102,13.9644,7.92155,30.1531,25.7107,49.4781
0.7,1578359,6.6368,13.2129,7.8156,29.9327,25.4763,49.1188
0.75,2128826,7.07779,16.1627,7.82225,29.711,25.2223,48.723
0.8,3526391,6.95457,13.1296,7.23111,29.3256,24.6979,48.1952
0.85,5133441,7.58478,13.9562,7.5015,28.7445,24.63907,47.2199
0.9,8794188,7.50284,14.5834,7.10159,27.8914,23.6069,45.933
0.95,29683802,7.43588,14.6059,5.82663,26.5774,18.946,43.6142
