Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0,3438,6.77832,12.1388,10.9937,50.0742,28.2608,50.9847
0.05,6948,6.78362,14.1245,10.5449,50.0692,28.2608,51.0222
0.1,10687,6.8749,14.0868,10.8053,50.0007,28.2797,50.9906
0.15,20190,6.54348,12.8583,10.7965,50.1278,28.2301,50.9998
0.2,25487,6.74755,12.5973,11.0619,49.9585,28.2631,51.0014
0.25,31206,6.61769,12.9187,10.2048,49.9464,28.2685,51.0285
0.3,41522,6.61595,13.586,10.683,50.1121,28.2342,50.9819
0.35,51553,6.56397,12.6428,10.5055,50.0602,28.2571,50.9965
0.4,62504,6.73855,12.1002,10.7184,50.3059,28.2404,50.9717
0.45,75184,6.56154,12.9295,10.6067,50.3568,28.2429,50.9768
0.5,123861,6.89502,13.3645,10.8195,50.275,28.2539,50.9612
0.55,243242,6.78492,13.0991,10.8393,50.3281,28.2208,50.91
0.6,643201,6.61053,14.003,10.9744,51.6353,28.096,50.8549
0.65,1092237,6.64154,14.1297,11.1577,51.8851,27.9663,50.6763
0.7,1577545,6.96221,13.1868,13.0286,51.8422,27.8715,50.4934
0.75,2118964,7.53704,14.5027,14.0745,54.4663,27.6791,50.3877
0.8,3524481,7.42734,14.1089,16.1817,54.3602,27.4386,50.2172
0.85,5133079,7.82445,14.65,19.3521,57.6805,27.0248,49.7771
0.9,8784623,7.74703,15.9536,21.9578,57.3566,26.5837,48.4094
0.95,29552825,8.65601,17.1156,20.82,53.9064,24.1284,46.9802
