Percentile,FlowSize,Ours-dcqcn-fct_p50,Ours-dcqcn-fct_p99
0.0,3119,1.18161,14.3495
0.05,6577,1.18085,12.3388
0.1,9903,1.19454,14.3289
0.15,19082,1.34818,13.1954
0.2,24517,1.26219,14.3172
0.25,29249,1.25557,14.2514
0.3,37973,1.32365,14.3439
0.35,49308,1.23057,14.2689
0.4,60308,1.19245,14.342
0.45,71210,1.34298,14.3112
0.5,101830,1.34061,13.8867
0.55,187211,1.35251,14.2995
0.6,541782,1.24451,14.1778
0.65,942258,1.3062,14.1339
0.7,1506547,1.32129,12.0377
0.75,1985693,1.3239,14.0485
0.8,3412558,1.38004,13.5933
0.85,4939783,1.64537,13.7195
0.9,8479704,1.59235,12.157
0.95,29894095,1.89361,11.882
