Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0,3193,6.54694,11.17,10.8152,50.0456,28.2916,50.9095
0.05,6576,6.57842,11.1569,10.976,50.2703,28.2948,50.9146
0.1,9897,6.66455,11.1919,10.8381,50.0731,28.3019,50.9126
0.15,19196,6.67597,11.7999,10.8679,50.1023,28.3189,50.9265
0.2,24583,6.71894,11.2992,11.0893,50.426,28.3278,50.9286
0.25,29312,6.66212,11.3067,11.0603,50.313,28.3145,50.9391
0.3,38736,6.77641,11.3501,11.3277,50.323,28.356,50.9482
0.35,48975,6.66016,11.7435,10.8979,50.4132,28.3531,50.958
0.4,60450,6.73619,11.4932,11.4774,50.5769,28.3894,50.9872
0.45,71914,6.82233,11.462,11.6466,50.5679,28.4,51.0137
0.5,103521,6.8102,11.6935,11.5238,51.0928,28.4447,51.077
0.55,196622,7.12443,12.0411,12.165,51.7547,28.632,51.3865
0.6,581925,7.94385,13.6588,15.6074,55.761,29.0351,52.4285
0.65,997867,9.41547,15.6565,20.3703,60.0893,29.8566,54.0457
0.7,1497163,11.1723,17.32,25.7873,66.1222,31.5958,55.7109
0.75,1992891,12.9065,19.1848,30.3714,70.1197,32.9417,56.9181
0.8,3392669,16.5531,23.4811,37.4342,76.4903,34.8194,59.7492
0.85,4995726,21.2657,30.5755,46.7038,84.4081,37.546,62.1406
0.9,8562045,25.0299,35.8483,54.1657,92.7728,39.2758,64.0427
0.95,29902268,25.7497,35.1824,55.0904,98.8817,38.8206,63.5383
