Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,3436,4.64399,50.1119,4.45232,57.3681,4.28594,52.5453
0.05,6819,4.02895,51.4287,3.90543,59.2237,3.55343,52.6208
0.1,10939,4.58572,40.4406,5.1702,42.5741,4.68274,40.5534
0.15,20807,4.58062,41.2705,4.93469,43.3726,4.68757,39.2389
0.2,26075,5.00513,33.1157,5.15563,36.514,5.06815,37.1168
0.25,33091,4.94145,45.0989,5.18707,53.0006,4.99251,49.4576
0.3,42367,3.76118,40.6484,3.50849,42.7777,3.15683,40.7318
0.35,52369,4.23001,45.3265,3.8829,54.6178,3.49451,49.8199
0.4,63918,5.38,48.486,5.24569,54.8515,5.05091,48.3745
0.45,76050,4.22061,72.8091,4.19649,77.2354,3.96572,73.4314
0.5,143042,5.16856,69.7556,5.50304,71.0587,5.04713,66.3139
0.55,316650,4.62634,40.0297,4.68429,43.4088,4.28096,43.2587
0.6,695667,4.34984,47.3799,4.41545,54.1336,4.11726,49.6053
0.65,1109777,4.25504,32.5626,4.227,34.4194,4.14528,34.153
0.7,1577162,3.82222,39.7955,3.91533,47.1557,3.73116,44.1518
0.75,2037696,4.44521,28.9171,4.43695,30.3046,4.08549,30.4997
0.8,3434651,4.13173,40.3033,4.07777,46.3677,3.74141,41.1253
0.85,4913421,4.03209,34.4972,4.15932,36.2555,3.88322,34.2988
0.9,8219798,4.43962,35.584,4.36696,38.4535,4.15476,35.5044
0.95,29473042,4.75962,28.4635,4.93662,31.9303,4.85229,28.8405
