Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,1061,9.06943,21.6191,20.8211,22.1094,6.83458,6.95996
0.05,7046,9.91678,20.3308,20.4611,32.2275,7.04724,8.24726
0.1,10039,8.48851,28.1285,31.7297,32.83,7.80176,7.93492
0.15,17505,9.93819,27.8016,10.3584,11.2229,7.25951,7.78562
0.2,24392,8.44258,9.8111,30.8478,32.8801,7.86752,8.13404
0.25,30091,8.60493,8.87112,9.18568,33.1756,7.89842,8.4341
0.3,37025,8.84562,11.632,10.1128,24.0173,7.33629,7.98878
0.35,49924,9.07997,28.5335,10.7821,33.174,6.84696,7.16709
0.4,65430,8.10538,8.88875,19.2786,32.8294,7.81509,8.2331
0.45,76018,7.61689,22.2328,10.8918,33.1494,7.09711,7.70092
0.5,141180,8.9107,22.1333,19.7788,24.2058,7.30487,7.77413
0.55,192429,10.006,21.9847,21.884,23.132,7.13772,7.92915
0.6,1182970,8.10267,28.0491,14.1718,32.9454,7.76117,7.99299
0.65,1648873,8.34167,20.9365,10.4845,24.8509,7.86047,8.21131
0.7,2561278,20.8547,26.0541,22.6786,26.5535,7.68368,7.84755
0.75,3307780,9.58294,9.97187,19.5676,31.9608,8.07575,9.15278
0.8,3758375,8.34635,18.2784,10.4565,30.9681,8.11387,9.23802
0.85,4551348,10.7864,19.7926,19.1893,25.3772,7.64588,7.72512
0.9,8397321,9.38775,27.0488,18.032,31.4541,7.83896,8.85478
0.95,24692945,9.06718,23.2992,24.7578,29.1478,7.90044,8.63903
