Percentile,FlowSize,ECMP-dcqcn-fct_p50,ECMP-dcqcn-fct_p99
0.0,3436,4.45232,57.3681
0.05,6819,3.90543,59.2237
0.1,10939,5.1702,42.5741
0.15,20807,4.93469,43.3726
0.2,26075,5.15563,36.514
0.25,33091,5.18707,53.0006
0.3,42367,3.50849,42.7777
0.35,52369,3.8829,54.6178
0.4,63918,5.24569,54.8515
0.45,76050,4.19649,77.2354
0.5,143042,5.50304,71.0587
0.55,316650,4.68429,43.4088
0.6,695667,4.41545,54.1336
0.65,1109777,4.227,34.4194
0.7,1577162,3.91533,47.1557
0.75,2037696,4.43695,30.3046
0.8,3434651,4.07777,46.3677
0.85,4913421,4.15932,36.2555
0.9,8219798,4.36696,38.4535
0.95,29473042,4.93662,31.9303
