Percentile,FlowSize,UCMP-dcqcn-fct_p50,UCMP-dcqcn-fct_p99
0.0,3454,6.08773,64.3566
0.05,6900,5.61408,66.3378
0.1,10061,6.18965,60.7034
0.15,19981,6.63021,65.6041
0.2,25196,6.52494,47.4546
0.25,29721,7.15278,65.9711
0.3,39598,6.27589,65.4425
0.35,49211,6.71315,66.2893
0.4,60240,6.11753,62.6049
0.45,71998,6.78156,61.6549
0.5,105006,7.15839,65.08
0.55,192429,6.73388,64.0854
0.6,544873,6.17893,60.4298
0.65,929506,6.72417,66.7062
0.7,1486472,6.76707,64.9584
0.75,1987837,7.4116,62.963
0.8,3433240,7.28754,62.8532
0.85,5087900,6.59335,58.9128
0.9,8531186,7.10436,80.165
0.95,29885803,6.50691,48.4514
