Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,3936,6.04632,6.43745,5.29996,6.11517,5.47265,6.24394
0.05,5346,5.42036,6.93196,12.5669,16.0076,5.60999,6.32956
0.1,9765,4.11013,5.57872,13.2506,13.7987,5.04948,5.58858
0.15,17099,6.35292,6.61002,13.0454,13.0678,5.36916,5.44483
0.2,20558,4.30457,5.64498,5.44087,6.70675,6.38472,6.52504
0.25,22932,5.45818,6.23746,6.64779,17.5081,5.85658,6.14946
0.3,26744,5.17657,5.94969,5.17079,5.41152,5.14831,5.98788
0.35,29289,5.42249,5.9442,5.39067,5.59782,4.84583,5.43448
0.4,43004,5.31751,5.37001,5.65488,5.76686,5.72178,6.1297
0.45,47581,5.97349,6.35705,6.31262,7.59007,5.50244,5.88069
0.5,54820,5.03385,5.4107,13.6055,13.8713,4.43907,5.04886
0.55,65350,5.38,6.4298,14.269,16.9309,5.54673,5.5801
0.6,76657,5.89877,7.63534,5.98158,6.41859,5.40079,6.0943
0.65,131409,5.69055,6.09764,6.45354,16.9873,5.96839,6.2951
0.7,741936,6.05416,6.55911,7.34731,14.1977,5.58619,5.6439
0.75,1359181,5.44841,6.20394,13.6615,16.8434,4.72548,5.82713
0.8,1900867,5.30847,6.41779,6.69571,16.7586,5.86186,7.00212
0.85,2129990,5.34333,6.71788,12.5281,16.4303,5.86661,5.89112
0.9,3486540,5.60287,5.66835,14.8695,16.6916,5.79737,6.16703
0.95,8719213,6.00358,6.28881,5.94362,16.8492,6.3352,6.41513
