Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99,ECMP-fct_p50,ECMP-fct_p99,UCMP-fct_p50,UCMP-fct_p99
0.0,3454,6.81557,70.4535,6.71139,80.432,6.08773,64.3566
0.05,6900,5.92674,69.3685,6.25531,84.7825,5.61408,66.3378
0.1,10061,7.0385,68.9881,6.70106,76.4554,6.18965,60.7034
0.15,19981,6.90074,70.3829,6.94991,80.9922,6.63021,65.6041
0.2,25196,7.23065,59.0832,7.0002,58.2274,6.52494,47.4546
0.25,29721,8.08547,69.7359,8.40328,81.2484,7.15278,65.9711
0.3,39598,6.85674,72.2693,6.92639,80.849,6.27589,65.4425
0.35,49211,7.54834,68.9483,7.63187,80.4327,6.71315,66.2893
0.4,60240,6.46539,70.342,6.81908,80.1905,6.11753,62.6049
0.45,71998,7.13026,68.5899,7.12269,77.5896,6.78156,61.6549
0.5,105006,7.97414,70.2384,8.19847,81.1096,7.15839,65.08
0.55,192429,7.39414,66.4511,7.62402,77.5221,6.73388,64.0854
0.6,544873,6.30227,69.342,6.78956,77.0443,6.17893,60.4298
0.65,929506,7.07269,66.8679,7.64472,77.9731,6.72417,66.7062
0.7,1486472,7.97324,84.4049,7.7738,77.4431,6.76707,64.9584
0.75,1987837,8.27716,75.5533,8.5638,77.981,7.4116,62.963
0.8,3433240,8.02828,78.196,8.20456,73.5394,7.28754,62.8532
0.85,5087900,6.96922,72.4152,6.90735,68.7176,6.59335,58.9128
0.9,8531186,7.48704,80.2141,7.56134,93.2824,7.10436,80.165
0.95,29885803,6.90382,48.4053,7.13045,54.7245,6.50691,48.4514
