Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99
0.0,435,2.00657,4.4993
0.05,932,2.00371,5.00089
0.1,2137,3.00187,5.00116
0.15,3579,2.00321,3.01084
0.2,4309,1.50917,2.99864
0.25,4677,1.99929,3.4983
0.3,5014,2.00355,4.50026
0.35,5280,1.50043,3.04122
0.4,5684,3.00086,4.99716
0.45,6342,2.99859,3.4982
0.5,6681,1.5494,4.99768
0.55,7217,2.99851,4.99711
0.6,7888,3.00511,3.49948
0.65,10450,2.01025,4.99839
0.7,13601,2.99851,4.49938
0.75,15786,1.99911,3.03473
0.8,26717,1.54145,3.00056
0.85,47037,1.51811,3.50117
0.9,90416,2.00923,3.0176
0.95,1489415,1.51807,4.94183
