Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99
0.0,840,1.0019,3.49865
0.05,1725,1.0019,3.49836
0.1,2591,1.00138,2.99919
0.15,3519,1.00172,2.00715
0.2,4220,1.00203,2.9986
0.25,4639,1.00143,2.9986
0.3,5072,1.00131,3.49823
0.35,5485,1.00159,3.49821
0.4,5917,1.00134,3.00331
0.45,6371,1.00184,2.99863
0.5,6815,1.00264,3.49973
0.55,7275,1.00156,2.99851
0.6,7719,1.00119,3.00511
0.65,9091,1.00173,3.04574
0.7,12480,1.0019,3.00999
0.75,15749,1.00232,2.99851
0.8,23804,1.00188,2.99828
0.85,31593,1.00211,2.99807
0.9,99917,1.00178,3.00057
0.95,1963401,1.00359,2.99545
