Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99
0.0,1,1.49998,2.99869
0.05,8,1.49981,3.49837
0.1,49,1.49965,2.99881
0.15,73,1.50299,3.49838
0.2,83,1.99949,4.99746
0.25,113,2.49927,3.49837
0.3,137,1.99934,4.99741
0.35,176,2.49901,4.99741
0.4,249,1.99933,3.49837
0.45,274,1.99933,4.498
0.5,308,1.99947,4.49783
0.55,340,1.50223,3.49837
0.6,376,1.50066,2.99875
0.65,414,2.50091,4.49772
0.7,457,1.49997,2.99875
0.75,546,1.99933,4.9974
0.8,723,1.50371,4.99746
0.85,1571,2.50211,4.49773
0.9,6014,1.99929,3.99808
0.95,72560,1.99917,3.99789
