Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99
0.0,2,1.00003,2.99869
0.05,32,1.00005,1.49967
0.1,62,1.00004,2.50123
0.15,73,1.00002,1.50299
0.2,85,1.00003,2.99884
0.25,105,1.00003,2.49927
0.3,130,1.00003,2.99878
0.35,158,1.00003,2.99869
0.4,199,1.00003,2.99869
0.45,261,1.00002,1.99933
0.5,287,1.00003,3.49837
0.55,319,1.00001,3.00009
0.6,357,1.00003,1.99933
0.65,400,1.00003,1.99933
0.7,461,1.00006,2.99875
0.75,574,1.00002,2.99873
0.8,938,1.00003,2.99868
0.85,1893,1.00004,2.99881
0.9,5701,1.00004,2.50018
0.95,972456,1.00007,2.99782
