Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99
0.0,1267,3.49837,4.74915
0.05,4978,4.03337,6.55287
0.1,7153,3.72705,4.61605
0.15,8957,3.77219,4.99709
0.2,13963,4.00679,5.23021
0.25,23122,3.71894,5.21595
0.3,26756,3.18738,3.54023
0.35,32128,3.38217,5.27888
0.4,37441,4.0391,4.3131
0.45,48408,4.0332,5.48527
0.5,62220,3.1629,4.10876
0.55,76288,3.23721,5.14078
0.6,109964,3.70928,4.9654
0.65,180936,3.66152,6.4823
0.7,415649,3.04716,4.01865
0.75,795644,4.00981,6.6476
0.8,1801644,4.7712,5.18383
0.85,2882087,3.15325,4.88919
0.9,5713429,3.37284,5.078
0.95,11295741,3.58855,5.17636
