Percentile,FlowSize,Ours-fct_p50,Ours-fct_p99
0.0,3962,1.12691,5.29308
0.05,7173,1.1727,5.94352
0.1,12788,1.14693,5.5255
0.15,21376,1.06076,5.55286
0.2,25906,1.12538,5.70805
0.25,31886,1.07256,5.45836
0.3,40787,1.10954,5.62787
0.35,49524,1.1332,5.42146
0.4,61446,1.11033,5.54972
0.45,72701,1.08887,5.57922
0.5,120770,1.06969,5.583
0.55,207822,1.12128,5.93045
0.6,573883,1.11764,5.7056
0.65,1007828,1.1188,5.83204
0.7,1501739,1.09144,5.80208
0.75,2066427,1.08232,5.40115
0.8,3613279,1.13134,5.67021
0.85,5281593,1.07641,5.37707
0.9,8532539,1.14959,5.08363
0.95,29480268,1.16745,4.79706
