time: 2000000000
208 1 1
208 2 1
208 3 1
208 4 1
208 5 1
208 6 1
209 1 1
209 2 1
209 3 1
209 4 1
209 5 1
209 6 1
210 1 1
210 2 1
210 3 1
210 4 1
210 5 1
210 6 1
211 1 1
211 2 1
211 3 1
211 4 1
211 5 1
211 6 1
212 1 1
212 2 1
212 3 1
212 4 1
212 5 1
212 6 1
213 1 1
213 2 1
213 3 1
213 4 1
213 5 1
213 6 1
214 1 1
214 2 1
214 3 1
214 4 1
214 5 1
214 6 1
215 1 1
215 2 1
215 3 1
215 4 1
215 5 1
215 6 1
216 1 1
216 2 1
216 3 1
216 4 1
216 5 1
216 6 1
217 1 1
217 2 1
217 3 1
217 4 1
217 5 1
217 6 1
218 1 1
218 2 1
218 3 1
218 4 1
218 5 1
218 6 1
219 1 1
219 2 1
219 3 1
219 4 1
219 5 1
219 6 1
220 1 1
220 2 1
220 3 1
220 4 1
220 5 1
220 6 1
221 1 1
221 2 1
221 3 1
221 4 1
221 5 1
221 6 1
222 1 1
222 2 1
222 3 1
222 4 1
222 5 1
222 6 1
223 1 1
223 2 1
223 3 1
223 4 1
223 5 1
223 6 1
224 1 1
224 2 1
224 3 1
224 4 1
224 5 1
224 6 1
225 1 1
225 2 1
225 3 1
225 4 1
225 5 1
225 6 1
226 1 1
226 2 1
226 3 1
226 4 1
226 5 1
226 6 1
227 1 1
227 2 1
227 3 1
227 4 1
227 5 1
227 6 1
228 1 1
228 2 1
228 3 1
228 4 1
228 5 1
228 6 1
229 1 1
229 2 1
229 3 1
229 4 1
229 5 1
229 6 1
230 1 1
230 2 1
230 3 1
230 4 1
230 5 1
230 6 1
231 1 1
231 2 1
231 3 1
231 4 1
231 5 1
231 6 1
232 1 1
232 2 1
232 3 1
232 4 1
232 5 1
232 6 1
233 1 1
233 2 1
233 3 1
233 4 1
233 5 1
233 6 1
234 1 1
234 2 1
234 3 1
234 4 1
234 5 1
234 6 1
235 1 1
235 2 1
235 3 1
235 4 1
235 5 1
235 6 1
236 1 1
236 2 1
236 3 1
236 4 1
236 5 1
236 6 1
237 1 1
237 2 1
237 3 1
237 4 1
237 5 1
237 6 1
238 1 1
238 2 1
238 3 1
238 4 1
238 5 1
238 6 1
239 1 1
239 2 1
239 3 1
239 4 1
239 5 1
239 6 1
240 1 1
240 2 1
240 3 1
240 4 1
240 5 1
240 6 1
241 1 1
241 2 1
241 3 1
241 4 1
241 5 1
241 6 1
242 1 1
242 2 1
242 3 1
242 4 1
242 5 1
242 6 1
243 1 1
243 2 1
243 3 1
243 4 1
243 5 1
243 6 1
244 1 1
244 2 1
244 3 1
244 4 1
244 5 1
244 6 1
245 1 1
245 2 1
245 3 1
245 4 1
245 5 1
245 6 1
246 1 1
246 2 1
246 3 1
246 4 1
246 5 1
246 6 1
247 1 1
247 2 1
247 3 1
247 4 1
247 5 1
247 6 1
248 1 1
248 2 1
248 3 1
248 4 1
248 5 1
248 6 1
249 1 1
249 2 1
249 3 1
249 4 1
249 5 1
249 6 1
250 1 1
250 2 1
250 3 1
250 4 1
250 5 1
250 6 1
251 1 1
251 2 1
251 3 1
251 4 1
251 5 1
251 6 1
252 1 1
252 2 1
252 3 1
252 4 1
252 5 1
252 6 1
253 1 1
253 2 1
253 3 1
253 4 1
253 5 1
253 6 1
254 1 1
254 2 1
254 3 1
254 4 1
254 5 1
254 6 1
255 1 1
255 2 1
255 3 1
255 4 1
255 5 1
255 6 1
256 1 1
256 2 1
256 3 1
256 4 1
256 5 1
256 6 1
257 1 1
257 2 1
257 3 1
257 4 1
257 5 1
257 6 1
258 1 1
258 2 1
258 3 1
258 4 1
258 5 1
258 6 1
259 1 1
259 2 1
259 3 1
259 4 1
259 5 1
259 6 1
260 1 1
260 2 1
260 3 1
260 4 1
260 5 1
261 1 1
261 2 1
261 3 1
261 4 1
261 5 1
262 1 1
262 2 1
262 3 1
262 4 1
262 5 1
263 1 1
263 2 1
263 3 1
263 4 1
263 5 1
264 1 1
264 2 1
264 3 1
264 4 1
264 5 1
265 1 1
265 2 1
265 3 1
265 4 1
265 5 1
266 1 1
266 2 1
266 3 1
266 4 1
266 5 1
267 1 1
267 2 1
267 3 1
267 4 1
267 5 1
268 1 1
268 2 1
268 3 1
268 4 1
268 5 1
269 1 1
269 2 1
269 3 1
269 4 1
269 5 1
270 1 1
270 2 1
270 3 1
270 4 1
270 5 1
271 1 1
271 2 1
271 3 1
271 4 1
271 5 1
272 1 1
272 2 1
272 3 1
272 4 1
272 5 1
273 1 1
273 2 1
273 3 1
273 4 1
273 5 1
274 1 1
274 2 1
274 3 1
274 4 1
274 5 1
275 1 1
275 2 1
275 3 1
275 4 1
275 5 1
276 1 1
276 2 1
276 3 1
276 4 1
276 5 1
277 1 1
277 2 1
277 3 1
277 4 1
277 5 1
278 1 1
278 2 1
278 3 1
278 4 1
278 5 1
279 1 1
279 2 1
279 3 1
279 4 1
279 5 1
280 1 1
280 2 1
280 3 1
280 4 1
280 5 1
281 1 1
281 2 1
281 3 1
281 4 1
281 5 1
282 1 1
282 2 1
282 3 1
282 4 1
282 5 1
283 1 1
283 2 1
283 3 1
283 4 1
283 5 1
284 1 1
284 2 1
284 3 1
284 4 1
284 5 1
285 1 1
285 2 1
285 3 1
285 4 1
285 5 1
286 1 1
286 2 1
286 3 1
287 1 1
287 2 1
287 3 1
287 4 1
287 5 1
288 1 1
288 2 1
288 3 1
288 4 1
288 5 1
288 6 1
288 7 1
288 8 1
289 1 1
289 2 1
289 3 1
289 4 1
289 5 1
290 1 1
290 2 1
290 3 1
290 4 1
290 5 1
290 6 1
291 1 1
291 2 1
291 3 1
291 4 1
291 5 1
291 6 1
292 1 1
292 2 1
292 3 1
292 4 1
292 5 1
292 6 1
293 1 1
293 2 1
293 3 1
293 4 1
294 1 1
294 2 1
294 3 1
294 4 1
295 1 1
295 2 1
295 3 1
295 4 1
296 1 1
296 2 1
296 3 1
296 4 1
296 5 1
297 1 1
297 2 1
297 3 1
297 4 1
297 5 1
297 6 1
297 7 1
298 1 1
298 2 1
298 3 1
