# 流源IP 目的IP 优先级pg 目的端口 数据量(Bytes) 流开始时间(s)
# src 		dst 	pg    		dport  	 size				start_time
4398
33 92 3 100 20394 2.000003454
18 156 3 100 14240 2.000003482
89 192 3 100 100393 2.000008161
163 113 3 100 30575 2.000010060
192 162 3 100 4871562 2.000011845
24 5 3 100 130854 2.000013919
123 154 3 100 32277 2.000015747
138 62 3 100 4879 2.000016265
3 80 3 100 672 2.000017428
44 173 3 100 4521206 2.000020692
102 202 3 100 37432 2.000022368
153 33 3 100 6992 2.000024013
155 172 3 100 1744384 2.000024189
144 91 3 100 66025 2.000024598
172 206 3 100 15663 2.000025215
103 151 3 100 1021954 2.000025327
136 172 3 100 55400 2.000026668
138 42 3 100 191357 2.000027711
22 196 3 100 36393 2.000028095
195 145 3 100 1818540 2.000029531
23 0 3 100 18428 2.000031530
121 66 3 100 1581177 2.000032939
38 50 3 100 2776068 2.000033965
24 96 3 100 28388963 2.000034411
102 5 3 100 9099299 2.000038854
91 50 3 100 1293734 2.000039846
148 19 3 100 79968 2.000041659
7 52 3 100 116129 2.000041884
197 106 3 100 4253 2.000045625
43 147 3 100 8307 2.000047362
14 124 3 100 24267 2.000047731
108 50 3 100 39859 2.000048655
121 153 3 100 60089 2.000049265
14 82 3 100 30793 2.000050070
15 158 3 100 1980221 2.000050888
118 83 3 100 26639 2.000051424
78 15 3 100 64030 2.000053226
16 1 3 100 116183 2.000055520
204 136 3 100 79375 2.000055590
83 137 3 100 384324 2.000056611
192 38 3 100 4077252 2.000057331
14 193 3 100 29255 2.000057356
112 172 3 100 26534364 2.000058987
179 196 3 100 181017 2.000059108
94 111 3 100 3671960 2.000059250
187 19 3 100 26693 2.000061003
17 180 3 100 1653193 2.000063925
21 122 3 100 43434 2.000068678
71 146 3 100 39879 2.000069319
19 81 3 100 4769190 2.000070914
194 191 3 100 1447282 2.000071948
114 33 3 100 337 2.000072445
101 126 3 100 5152580 2.000073041
157 163 3 100 8536 2.000074686
11 64 3 100 44208 2.000075252
178 35 3 100 1125511 2.000075476
185 59 3 100 35716 2.000079007
5 180 3 100 32091 2.000084485
44 28 3 100 7662 2.000086789
92 69 3 100 3687885 2.000088553
39 13 3 100 6137 2.000089840
125 64 3 100 1464843 2.000093728
103 20 3 100 6398690 2.000095310
120 82 3 100 6681 2.000095676
64 152 3 100 24840 2.000099358
125 198 3 100 1274753 2.000104358
9 54 3 100 1309141 2.000104813
56 121 3 100 5628 2.000113528
102 37 3 100 1259763 2.000113607
149 189 3 100 31563 2.000121526
199 95 3 100 3420 2.000123328
22 189 3 100 411049 2.000123416
164 8 3 100 2042 2.000130657
62 80 3 100 9440 2.000133416
19 59 3 100 22591 2.000135226
65 0 3 100 8188 2.000136596
10 136 3 100 49936 2.000136981
0 57 3 100 3646 2.000139137
19 60 3 100 1929945 2.000140341
177 74 3 100 6695 2.000142035
148 93 3 100 2326796 2.000144750
71 137 3 100 21365 2.000147842
10 194 3 100 29627 2.000154955
110 11 3 100 2284393 2.000155637
136 158 3 100 518716 2.000156737
168 36 3 100 205579 2.000158229
58 3 3 100 61833 2.000159464
54 168 3 100 26276 2.000160545
2 156 3 100 4242509 2.000164786
100 123 3 100 28503 2.000165344
204 184 3 100 3370 2.000167216
32 90 3 100 7672 2.000168601
141 7 3 100 27790 2.000168800
88 51 3 100 62431 2.000170335
59 0 3 100 22711 2.000173124
46 199 3 100 9058174 2.000173874
165 54 3 100 71793 2.000176328
137 80 3 100 78259 2.000176867
45 51 3 100 786729 2.000179095
138 25 3 100 2864414 2.000180746
124 8 3 100 903962 2.000181116
164 46 3 100 889918 2.000182019
166 141 3 100 5732 2.000183964
74 14 3 100 84249 2.000187499
190 16 3 100 711975 2.000188615
73 84 3 100 57701 2.000190544
98 44 3 100 4913421 2.000190608
207 29 3 100 8656861 2.000191989
138 33 3 100 12171 2.000193583
