# 流源IP 目的IP 优先级pg 目的端口 数据量(Bytes) 流开始时间(s)
# src 		dst 	pg    		dport  	 size				start_time
5846
2 205 3 100 16464 2.000042828
14 193 3 100 51429 2.000067897
2 193 3 100 121938 2.000075262
6 201 3 100 13016 2.000098722
1 205 3 100 2571 2.000166477
8 194 3 100 68303 2.000191967
15 204 3 100 4032968 2.000199474
12 205 3 100 25347 2.000208968
12 196 3 100 10596 2.000226561
13 198 3 100 1392337 2.000228141
4 193 3 100 21992 2.000240183
15 198 3 100 3508 2.000268401
14 193 3 100 69088 2.000272250
5 207 3 100 939 2.000286392
12 193 3 100 59358 2.000318043
3 196 3 100 10620804 2.000322901
12 203 3 100 57317 2.000330129
14 201 3 100 7673443 2.000339246
6 205 3 100 132195 2.000339760
4 201 3 100 4007611 2.000344053
11 207 3 100 1386755 2.000366059
13 204 3 100 926 2.000366767
10 201 3 100 4306713 2.000390818
0 203 3 100 1340246 2.000400073
7 200 3 100 53578 2.000400094
4 198 3 100 9528 2.000428133
7 198 3 100 44555 2.000444557
14 192 3 100 58316 2.000478184
10 195 3 100 557540 2.000525652
5 193 3 100 121615 2.000532202
14 203 3 100 80672 2.000541360
8 204 3 100 9209 2.000543324
12 194 3 100 45386 2.000561525
5 197 3 100 23998 2.000562393
2 207 3 100 26789 2.000569174
2 195 3 100 73129 2.000603090
0 201 3 100 179564 2.000646865
5 198 3 100 14821 2.000668553
15 201 3 100 42865 2.000669114
10 202 3 100 24947 2.000677230
4 205 3 100 4280730 2.000681248
0 200 3 100 804579 2.000709593
12 199 3 100 4025 2.000711934
13 195 3 100 90541 2.000715716
7 194 3 100 196106 2.000729970
0 196 3 100 3730 2.000744500
5 204 3 100 64006 2.000752295
4 197 3 100 711858 2.000754617
6 196 3 100 1715909 2.000764149
14 205 3 100 5643303 2.000813838
10 204 3 100 1640553 2.000814048
10 204 3 100 3046 2.000830010
12 206 3 100 886 2.000862494
3 198 3 100 68722 2.000867998
15 205 3 100 36874 2.000878998
15 197 3 100 26279182 2.000881903
10 205 3 100 40730 2.000902377
6 199 3 100 1933904 2.000908793
7 201 3 100 70008 2.000945484
12 204 3 100 23474 2.000999310
7 193 3 100 26097807 2.001017148
7 200 3 100 2583 2.001022313
13 196 3 100 11793 2.001025117
2 207 3 100 2032695 2.001041310
4 197 3 100 18025 2.001041685
6 192 3 100 62078 2.001047667
6 199 3 100 29077 2.001067214
2 207 3 100 729681 2.001102533
0 198 3 100 684711 2.001104887
12 192 3 100 83601 2.001129890
13 199 3 100 28914224 2.001133048
4 201 3 100 75661 2.001137250
7 204 3 100 42483 2.001142331
4 207 3 100 9825 2.001156329
9 199 3 100 614 2.001161767
3 194 3 100 9453064 2.001182805
10 195 3 100 60080 2.001187373
3 196 3 100 6625 2.001187666
9 200 3 100 13214 2.001199118
7 199 3 100 155614 2.001217181
1 206 3 100 6213 2.001228411
10 196 3 100 4190 2.001231789
4 197 3 100 25172 2.001235602
2 200 3 100 413242 2.001260638
15 193 3 100 1720189 2.001274345
2 203 3 100 7047282 2.001289528
4 203 3 100 7201 2.001341085
10 194 3 100 3456 2.001347453
12 193 3 100 1851412 2.001367230
0 202 3 100 5671 2.001434190
1 192 3 100 27329 2.001463480
2 198 3 100 22952141 2.001475237
11 204 3 100 4900831 2.001477443
6 196 3 100 36664 2.001504275
3 200 3 100 6200879 2.001514080
9 195 3 100 5276 2.001525619
2 194 3 100 19211094 2.001525853
9 203 3 100 4788501 2.001536596
8 205 3 100 71894 2.001545214
8 198 3 100 41704 2.001557591
12 205 3 100 1203071 2.001581581
4 204 3 100 913272 2.001609225
9 200 3 100 67098 2.001621017
11 206 3 100 20238 2.001638271
8 203 3 100 3405117 2.001664665
5 195 3 100 868961 2.001684803
12 198 3 100 76198 2.001696650
1 193 3 100 480034 2.001716704
2 193 3 100 65176 2.001733914
2 200 3 100 4644 2.001761740
11 196 3 100 1808100 2.001809965
5 192 3 100 1612365 2.001874364
14 200 3 100 597244 2.001886052
0 192 3 100 4102156 2.001897303
3 207 3 100 19040 2.001954020
9 192 3 100 3228961 2.001958103
15 194 3 100 800581 2.001964748
9 193 3 100 189820 2.001971294
0 192 3 100 121886 2.001976606
13 202 3 100 43711 2.001979227
1 206 3 100 32019 2.002007795
10 196 3 100 10762 2.002028956
14 196 3 100 8902 2.002063377
12 205 3 100 8160879 2.002109697
15 206 3 100 102244 2.002126681
10 201 3 100 43705 2.002138162
8 194 3 100 1512602 2.002146066
15 203 3 100 59276 2.002147600
12 198 3 100 54993 2.002158814
15 194 3 100 50323 2.002161163
14 201 3 100 60938 2.002166491
3 207 3 100 20963 2.002171226
10 207 3 100 972242 2.002180369
4 202 3 100 16051 2.002205396
1 192 3 100 22470 2.002244340
11 207 3 100 7902 2.002249783
6 204 3 100 8865 2.002262501
4 194 3 100 28620 2.002275127
15 203 3 100 1143 2.002282943
1 197 3 100 2585 2.002284140
4 195 3 100 1248628 2.002360914
8 203 3 100 39080 2.002361372
7 199 3 100 350115 2.002394441
2 199 3 100 1475050 2.002415100
9 197 3 100 1035152 2.002431038
1 193 3 100 13216 2.002442780
1 194 3 100 29082701 2.002508695
0 204 3 100 780753 2.002549918
3 201 3 100 11740 2.002564612
7 200 3 100 2504677 2.002569655
2 205 3 100 14749974 2.002598272
5 203 3 100 6058 2.002604789
5 194 3 100 1582439 2.002624585
13 194 3 100 79999 2.002625426
7 192 3 100 358495 2.002628678
3 205 3 100 173892 2.002650571
0 196 3 100 38283 2.002680924
10 203 3 100 4945 2.002681327
9 205 3 100 1493378 2.002693637
12 200 3 100 1486723 2.002694811
14 194 3 100 17163 2.002713603
6 206 3 100 9888946 2.002715815
11 206 3 100 302 2.002750787
4 203 3 100 8340 2.002773769
15 192 3 100 85537 2.002790135
0 199 3 100 7932 2.002832672
10 195 3 100 1413314 2.002835762
2 199 3 100 73455 2.002838717
9 200 3 100 59519 2.002879210
12 198 3 100 4673778 2.002893704
11 206 3 100 18299 2.002902222
11 200 3 100 790501 2.002920558
2 200 3 100 60279 2.002923989
7 201 3 100 19050 2.002956034
5 201 3 100 10225 2.002957091
9 197 3 100 3975399 2.002971100
14 192 3 100 5981067 2.002983754
6 207 3 100 5722826 2.002993407
9 197 3 100 797930 2.002994012
0 196 3 100 188101 2.003052425
7 199 3 100 71528 2.003059501
9 199 3 100 48991 2.003096623
7 207 3 100 46751 2.003100907
13 196 3 100 4907971 2.003102760
0 195 3 100 2645781 2.003104603
3 193 3 100 9508824 2.003118215
1 195 3 100 2762069 2.003138770
2 194 3 100 118844 2.003156333
14 193 3 100 2588528 2.003162408
0 196 3 100 60903 2.003195795
0 199 3 100 475451 2.003200025
0 200 3 100 15238 2.003235442
15 198 3 100 676910 2.003242631
9 198 3 100 1204913 2.003269245
3 195 3 100 154229 2.003310966
15 192 3 100 3686 2.003320654
14 194 3 100 3418 2.003332060
15 202 3 100 37660 2.003340159
2 204 3 100 7536274 2.003352597
2 192 3 100 7295069 2.003388861
5 203 3 100 11424 2.003394009
15 203 3 100 1804922 2.003397614
4 202 3 100 1424911 2.003422562
11 205 3 100 742758 2.003480300
3 200 3 100 6443850 2.003497203
5 193 3 100 713 2.003501797
8 198 3 100 858422 2.003515012
10 202 3 100 6421829 2.003526519
4 199 3 100 2164019 2.003548904
13 194 3 100 168553 2.003574364
11 203 3 100 805334 2.003575158
9 206 3 100 56685 2.003597680
14 204 3 100 14767 2.003602450
9 201 3 100 122906 2.003614268
2 205 3 100 49551 2.003629002
8 193 3 100 14173 2.003629254
6 198 3 100 8877 2.003637176
14 192 3 100 123337 2.003639140
4 197 3 100 7833932 2.003707590
9 192 3 100 46140 2.003743927
10 194 3 100 22876 2.003765209
2 201 3 100 4813707 2.003803924
10 195 3 100 2504358 2.003829671
10 206 3 100 167348 2.003848595
9 192 3 100 431632 2.003871455
12 200 3 100 5510798 2.003880302
15 197 3 100 216 2.003890480
1 197 3 100 7362 2.003902423
13 193 3 100 74246 2.003917457
9 194 3 100 13109466 2.003925603
11 193 3 100 17537 2.003929160
9 205 3 100 487367 2.003933058
14 198 3 100 3599235 2.003935896
13 197 3 100 14534 2.003942336
9 207 3 100 1022182 2.003984726
3 200 3 100 29836 2.004000481
14 200 3 100 6672376 2.004003436
3 200 3 100 31636 2.004070181
12 193 3 100 8092 2.004071302
2 202 3 100 2046311 2.004093636
7 205 3 100 63309 2.004094773
1 204 3 100 1257983 2.004098879
15 194 3 100 5530 2.004099881
6 192 3 100 69753 2.004108157
5 204 3 100 1560333 2.004125652
0 193 3 100 78678 2.004164580
9 193 3 100 1048383 2.004201770
11 203 3 100 309068 2.004213220
13 204 3 100 71030 2.004215061
5 198 3 100 102805 2.004227650
14 197 3 100 1729428 2.004234224
11 203 3 100 189279 2.004235513
12 192 3 100 21000703 2.004238549
3 197 3 100 36205 2.004285560
8 192 3 100 7797 2.004316022
6 203 3 100 1788378 2.004345981
12 194 3 100 47173 2.004363208
7 196 3 100 2266738 2.004384200
6 199 3 100 197503 2.004410534
14 203 3 100 21850183 2.004418538
7 193 3 100 1460485 2.004426535
9 200 3 100 9751 2.004430009
10 201 3 100 29075 2.004440026
11 205 3 100 76788 2.004456043
10 202 3 100 1255037 2.004477512
4 200 3 100 51671 2.004490752
