time: 2000000000
128 1 1
128 2 1
128 3 1
128 4 1
128 5 1
128 6 1
129 1 1
129 2 1
129 3 1
129 4 1
129 5 1
129 6 1
130 1 1
130 2 1
130 3 1
130 4 1
130 5 1
130 6 1
131 1 1
131 2 1
131 3 1
131 4 1
131 5 1
131 6 1
132 1 1
132 2 1
132 3 1
132 4 1
132 5 1
132 6 1
133 1 1
133 2 1
133 3 1
133 4 1
133 5 1
133 6 1
134 1 1
134 2 1
134 3 1
134 4 1
134 5 1
134 6 1
135 1 1
135 2 1
135 3 1
135 4 1
135 5 1
135 6 1
136 1 1
136 2 1
136 3 1
136 4 1
136 5 1
136 6 1
137 1 1
137 2 1
137 3 1
137 4 1
137 5 1
137 6 1
138 1 1
138 2 1
138 3 1
138 4 1
138 5 1
138 6 1
139 1 1
139 2 1
139 3 1
139 4 1
139 5 1
139 6 1
140 1 1
140 2 1
140 3 1
140 4 1
140 5 1
140 6 1
141 1 1
141 2 1
141 3 1
141 4 1
141 5 1
141 6 1
142 1 1
142 2 1
142 3 1
142 4 1
142 5 1
142 6 1
143 1 1
143 2 1
143 3 1
143 4 1
143 5 1
143 6 1
144 1 1
144 2 1
144 3 1
144 4 1
144 5 1
144 6 1
145 1 1
145 2 1
145 3 1
145 4 1
145 5 1
145 6 1
146 1 1
146 2 1
146 3 1
146 4 1
146 5 1
146 6 1
147 1 1
147 2 1
147 3 1
147 4 1
147 5 1
147 6 1
148 1 1
148 2 1
148 3 1
148 4 1
148 5 1
148 6 1
149 1 1
149 2 1
149 3 1
149 4 1
149 5 1
149 6 1
150 1 1
150 2 1
150 3 1
150 4 1
150 5 1
150 6 1
151 1 1
151 2 1
151 3 1
151 4 1
151 5 1
151 6 1
152 1 1
152 2 1
152 3 1
152 4 1
152 5 1
152 6 1
153 1 1
153 2 1
153 3 1
153 4 1
153 5 1
153 6 1
154 1 1
154 2 1
154 3 1
154 4 1
154 5 1
154 6 1
155 1 1
155 2 1
155 3 1
155 4 1
155 5 1
155 6 1
156 1 1
156 2 1
156 3 1
156 4 1
156 5 1
156 6 1
157 1 1
157 2 1
157 3 1
157 4 1
157 5 1
157 6 1
158 1 1
158 2 1
158 3 1
158 4 1
158 5 1
158 6 1
159 1 1
159 2 1
159 3 1
159 4 1
159 5 1
159 6 1
160 1 1
160 2 1
160 3 1
160 4 1
160 5 1
161 1 1
161 2 1
161 3 1
161 4 1
161 5 1
162 1 1
162 2 1
162 3 1
162 4 1
162 5 1
163 1 1
163 2 1
163 3 1
163 4 1
163 5 1
164 1 1
164 2 1
164 3 1
164 4 1
164 5 1
165 1 1
165 2 1
165 3 1
165 4 1
165 5 1
166 1 1
166 2 1
166 3 1
166 4 1
166 5 1
167 1 1
167 2 1
167 3 1
167 4 1
167 5 1
168 1 1
168 2 1
168 3 1
168 4 1
168 5 1
169 1 1
169 2 1
169 3 1
169 4 1
169 5 1
170 1 1
170 2 1
170 3 1
170 4 1
170 5 1
171 1 1
171 2 1
171 3 1
171 4 1
171 5 1
172 1 1
172 2 1
172 3 1
172 4 1
172 5 1
173 1 1
173 2 1
173 3 1
173 4 1
173 5 1
174 1 1
174 2 1
174 3 1
174 4 1
174 5 1
175 1 1
175 2 1
175 3 1
175 4 1
175 5 1
176 1 1
176 2 1
176 3 1
176 4 1
176 5 1
176 6 1
176 7 1
176 8 1
177 1 1
177 2 1
177 3 1
177 4 1
178 1 1
178 2 1
178 3 1
178 4 1
179 1 1
179 2 1
179 3 1
179 4 1
180 1 1
180 2 1
180 3 1
180 4 1
181 1 1
181 2 1
181 3 1
181 4 1
182 1 1
182 2 1
182 3 1
182 4 1
183 1 1
183 2 1
183 3 1
183 4 1
183 5 1
183 6 1
183 7 1
183 8 1
