# 流源IP 目的IP 优先级pg 目的端口 数据量(Bytes) 流开始时间(s)
# src 		dst 	pg    		dport  	 size				start_time
7409
3 119 3 100 3037 2.000000765
9 125 3 100 12092 2.000001931
4 116 3 100 14876 2.000001968
14 118 3 100 48770 2.000002245
1 121 3 100 3261 2.000003996
4 122 3 100 6257 2.000004116
13 118 3 100 1349 2.000004927
1 123 3 100 5288 2.000005354
6 122 3 100 5990 2.000005843
8 114 3 100 991 2.000005998
6 113 3 100 495 2.000006398
5 125 3 100 7248 2.000006460
8 116 3 100 7224 2.000006683
8 113 3 100 5123 2.000007360
7 118 3 100 4332 2.000008122
6 122 3 100 5230 2.000008955
1 121 3 100 6834 2.000012163
14 127 3 100 39539 2.000012753
2 118 3 100 7453 2.000013065
1 123 3 100 21545 2.000013135
8 127 3 100 7584 2.000014447
9 125 3 100 4073 2.000014800
4 124 3 100 4148 2.000014854
6 120 3 100 6511 2.000016208
8 124 3 100 49360 2.000016505
15 124 3 100 15523 2.000017494
9 126 3 100 5029 2.000019013
0 123 3 100 7436 2.000020652
13 112 3 100 3519 2.000022289
7 125 3 100 14867 2.000024380
15 119 3 100 254 2.000024400
7 115 3 100 7312 2.000025678
1 114 3 100 6961 2.000025743
12 115 3 100 15025 2.000025938
2 126 3 100 4869 2.000026734
4 126 3 100 6013 2.000026963
1 119 3 100 6787 2.000027230
10 120 3 100 17981 2.000028080
12 127 3 100 4676 2.000028448
15 125 3 100 3721 2.000030658
11 120 3 100 3501 2.000030840
2 114 3 100 5617 2.000031757
12 116 3 100 127 2.000031914
12 113 3 100 4789 2.000032282
4 126 3 100 4989 2.000032309
11 119 3 100 46639 2.000034177
10 121 3 100 19896 2.000034630
13 123 3 100 8319 2.000034880
2 120 3 100 3146 2.000036986
5 121 3 100 21316 2.000037628
2 114 3 100 2579 2.000040721
6 126 3 100 7552 2.000041344
7 122 3 100 481 2.000042668
9 114 3 100 77924 2.000042870
2 126 3 100 5486 2.000043583
6 124 3 100 15588 2.000045430
5 126 3 100 72670 2.000046052
0 127 3 100 556107 2.000046454
3 114 3 100 24035 2.000046483
9 117 3 100 3574 2.000047370
2 115 3 100 11637 2.000047569
4 113 3 100 7127 2.000049019
2 114 3 100 5362 2.000049042
2 121 3 100 383 2.000049388
10 119 3 100 1219 2.000049478
11 123 3 100 1838 2.000049693
10 124 3 100 5795 2.000049844
12 112 3 100 5545 2.000050833
6 112 3 100 23043 2.000050973
14 114 3 100 2378 2.000052837
11 114 3 100 65538 2.000053987
7 118 3 100 31945 2.000054065
15 122 3 100 21030 2.000054259
7 125 3 100 7724 2.000054622
15 115 3 100 29393 2.000054861
15 114 3 100 595 2.000054983
14 127 3 100 6718 2.000056631
13 116 3 100 6847 2.000057714
11 122 3 100 282 2.000057793
14 119 3 100 5181 2.000057875
2 117 3 100 7525 2.000058205
0 116 3 100 32721 2.000058635
7 116 3 100 6910 2.000059654
1 124 3 100 10928 2.000059869
6 112 3 100 7501 2.000060015
14 127 3 100 3501 2.000061313
7 116 3 100 1658168 2.000062755
4 119 3 100 341 2.000063004
13 127 3 100 6634 2.000063011
4 125 3 100 6875 2.000063109
15 113 3 100 5439 2.000065464
4 115 3 100 28378 2.000065633
8 124 3 100 3968 2.000065925
14 113 3 100 16316 2.000066873
5 123 3 100 20790 2.000069052
8 113 3 100 6601 2.000069513
3 115 3 100 17512 2.000070185
7 112 3 100 3710 2.000070854
4 114 3 100 4412 2.000071418
6 122 3 100 6213 2.000072212
5 112 3 100 2116 2.000072626
3 119 3 100 495 2.000075445
1 118 3 100 7808 2.000077197
7 126 3 100 592 2.000077659
10 116 3 100 5333 2.000079046
6 118 3 100 4733 2.000079158
13 113 3 100 3204 2.000080008
6 115 3 100 21806 2.000080069
8 126 3 100 43595 2.000080277
9 121 3 100 12255 2.000080762
11 124 3 100 2489 2.000081780
6 119 3 100 3281 2.000083645
9 127 3 100 5989 2.000084115
6 121 3 100 5996 2.000084183
15 120 3 100 7194 2.000085154
5 115 3 100 3922 2.000085375
10 114 3 100 3847 2.000085541
8 119 3 100 3005 2.000085850
9 117 3 100 5251 2.000085937
15 121 3 100 5991 2.000086751
8 118 3 100 5022 2.000086764
13 113 3 100 8961 2.000086854
7 119 3 100 78316 2.000087384
1 127 3 100 31112 2.000087633
2 123 3 100 110689 2.000088241
0 121 3 100 231248 2.000088263
7 119 3 100 8027 2.000088326
1 117 3 100 795 2.000089219
8 125 3 100 6932 2.000089735
2 118 3 100 7098 2.000090474
1 127 3 100 6800 2.000091755
0 117 3 100 23354 2.000091938
1 127 3 100 4851 2.000092087
15 125 3 100 3105 2.000093693
11 124 3 100 6152 2.000094482
3 114 3 100 6069 2.000094580
0 116 3 100 7065 2.000095125
7 126 3 100 5167 2.000095288
7 120 3 100 13204 2.000095823
2 112 3 100 88 2.000095834
10 113 3 100 3873 2.000096761
13 116 3 100 5134 2.000097551
12 120 3 100 5566 2.000098440
7 114 3 100 4115 2.000099563
7 127 3 100 96108 2.000099606
2 125 3 100 3333 2.000099629
0 113 3 100 4021 2.000101438
8 124 3 100 5954 2.000102235
10 114 3 100 26881 2.000102360
4 113 3 100 9876 2.000102898
10 114 3 100 4859 2.000103141
13 122 3 100 5089 2.000103339
3 126 3 100 4211 2.000104068
9 114 3 100 3790 2.000104405
10 124 3 100 5954 2.000105058
0 118 3 100 6457 2.000105151
4 122 3 100 29738 2.000106403
3 119 3 100 5558 2.000107672
0 117 3 100 5045 2.000107877
1 127 3 100 602 2.000109252
5 115 3 100 5836 2.000109483
2 113 3 100 7768 2.000109525
12 115 3 100 7490 2.000109653
11 113 3 100 7501 2.000110051
2 118 3 100 7598 2.000111042
6 127 3 100 1026 2.000111244
2 119 3 100 7547 2.000111988
7 117 3 100 6755 2.000112785
6 126 3 100 6852 2.000114102
10 125 3 100 5235 2.000114618
1 125 3 100 8514 2.000115423
10 124 3 100 22351 2.000115745
0 113 3 100 4974 2.000117590
1 113 3 100 2976 2.000118095
12 125 3 100 31742 2.000118471
9 112 3 100 7648 2.000119196
2 126 3 100 6969 2.000119689
3 124 3 100 27905 2.000120216
14 122 3 100 2291 2.000120843
0 115 3 100 15095 2.000121080
14 121 3 100 6289 2.000121610
0 113 3 100 118077 2.000122540
11 119 3 100 6992 2.000122851
12 125 3 100 6665 2.000123558
12 122 3 100 46958 2.000123649
14 112 3 100 7938 2.000124006
13 124 3 100 4132 2.000124759
15 121 3 100 20723 2.000125364
0 115 3 100 350 2.000125858
2 127 3 100 25072 2.000126053
14 124 3 100 7308 2.000126480
13 113 3 100 6400 2.000126813
1 127 3 100 2428 2.000126945
5 115 3 100 235 2.000130607
11 120 3 100 10409 2.000131696
2 113 3 100 9424 2.000132311
10 126 3 100 5423 2.000132848
1 114 3 100 4345 2.000133164
0 112 3 100 323 2.000133959
5 118 3 100 24539 2.000134675
2 124 3 100 5452 2.000136984
1 123 3 100 2789 2.000137703
6 121 3 100 12239 2.000138681
15 123 3 100 12080 2.000138686
0 127 3 100 7934 2.000139497
11 114 3 100 6475 2.000139543
5 121 3 100 1069 2.000140926
2 127 3 100 7235 2.000141185
8 123 3 100 2657 2.000141597
4 122 3 100 2143 2.000142664
14 115 3 100 20715 2.000143874
15 115 3 100 4583 2.000144888
9 121 3 100 4312 2.000145109
8 121 3 100 12723 2.000145115
1 124 3 100 125996 2.000145154
11 123 3 100 3694 2.000145528
3 123 3 100 4119 2.000145673
15 123 3 100 4563 2.000146219
1 125 3 100 5976 2.000146541
15 118 3 100 14888 2.000147743
6 116 3 100 82546 2.000148823
8 119 3 100 31583 2.000150035
1 126 3 100 92894 2.000150188
2 115 3 100 7362 2.000151289
12 119 3 100 5445 2.000151796
15 113 3 100 1424 2.000152779
8 126 3 100 7699 2.000155787
10 122 3 100 3990 2.000156629
11 122 3 100 5065 2.000156994
13 112 3 100 601 2.000157319
9 114 3 100 1858 2.000158846
5 124 3 100 7764 2.000159174
10 118 3 100 7080 2.000159238
11 114 3 100 5173 2.000159606
14 112 3 100 7567 2.000159721
15 126 3 100 752 2.000160083
0 116 3 100 4509 2.000161400
14 127 3 100 7998 2.000161484
8 114 3 100 707 2.000161824
10 114 3 100 5430 2.000162555
8 117 3 100 7180 2.000163867
0 115 3 100 543 2.000166741
6 125 3 100 1501471 2.000167007
12 113 3 100 38192 2.000167205
13 118 3 100 4780 2.000168692
4 123 3 100 4411 2.000169102
11 119 3 100 17706 2.000171567
1 119 3 100 4707 2.000172562
0 118 3 100 227 2.000174845
5 127 3 100 11879 2.000175091
10 120 3 100 83095 2.000176027
13 120 3 100 6543 2.000176872
3 120 3 100 6219 2.000178642
7 117 3 100 5408 2.000178985
4 121 3 100 15248 2.000179089
8 120 3 100 4274 2.000182378
10 123 3 100 6036 2.000182478
12 117 3 100 910 2.000182560
0 126 3 100 8464 2.000183252
2 117 3 100 6418 2.000183353
15 126 3 100 5282 2.000183529
6 125 3 100 7401 2.000184499
9 115 3 100 3821 2.000184921
13 126 3 100 3290 2.000186163
11 118 3 100 20547 2.000186319
15 112 3 100 35009 2.000186425
14 126 3 100 1371 2.000188074
15 112 3 100 7699 2.000188111
14 114 3 100 6571 2.000188204
9 117 3 100 20449 2.000188277
14 115 3 100 22205 2.000190707
15 126 3 100 4279 2.000190738
11 112 3 100 6730 2.000191688
12 117 3 100 5664 2.000191844
12 118 3 100 7323 2.000191960
1 126 3 100 6304 2.000192026
1 114 3 100 9959 2.000194267
12 114 3 100 67 2.000194363
9 119 3 100 20953 2.000198835
13 121 3 100 4809 2.000198974
10 119 3 100 7305 2.000199840
0 121 3 100 2286 2.000200623
11 119 3 100 1939754 2.000200669
8 117 3 100 4830 2.000200693
3 120 3 100 5769 2.000201564
7 117 3 100 14910 2.000201832
4 121 3 100 5457 2.000203389
11 118 3 100 6672 2.000205602
4 119 3 100 506164 2.000206090
4 119 3 100 7709 2.000206097
1 121 3 100 6449 2.000206136
2 122 3 100 11343 2.000206621
1 124 3 100 7097 2.000206734
0 126 3 100 730 2.000207015
0 125 3 100 7573 2.000207191
2 126 3 100 2445 2.000207435
4 114 3 100 4518 2.000208091
2 127 3 100 126249 2.000208581
3 125 3 100 7884 2.000209239
10 119 3 100 3677 2.000209299
2 124 3 100 2391 2.000209516
13 126 3 100 27948 2.000209869
10 121 3 100 6105 2.000210216
3 120 3 100 7678 2.000212141
13 120 3 100 71767 2.000214040
3 114 3 100 1879038 2.000214712
9 120 3 100 4740 2.000216951
11 125 3 100 6328 2.000217267
12 118 3 100 70940 2.000218313
8 113 3 100 8829 2.000218729
13 117 3 100 5751 2.000219825
9 114 3 100 3349 2.000219885
6 120 3 100 5000 2.000220687
11 123 3 100 20550 2.000220774
5 122 3 100 7939 2.000222648
11 119 3 100 14849 2.000223477
4 117 3 100 4484 2.000223799
7 113 3 100 2196 2.000224541
6 126 3 100 3405 2.000225200
1 126 3 100 1896 2.000225813
10 124 3 100 6761 2.000228083
1 120 3 100 84672 2.000228599
2 122 3 100 5333 2.000228708
3 114 3 100 876 2.000229196
7 112 3 100 2213 2.000229646
14 114 3 100 8147 2.000229972
5 125 3 100 6388 2.000230002
4 123 3 100 6309 2.000231105
7 113 3 100 9107 2.000231288
5 116 3 100 178805 2.000232109
9 121 3 100 30121 2.000232193
13 113 3 100 5858 2.000232233
10 122 3 100 7819 2.000232675
3 122 3 100 5922 2.000233292
3 116 3 100 2789 2.000233648
3 114 3 100 6389 2.000234325
1 121 3 100 15766 2.000236472
2 122 3 100 6077 2.000236769
7 126 3 100 725621 2.000237482
15 122 3 100 2818 2.000237499
13 118 3 100 104786 2.000237671
4 124 3 100 472 2.000237722
1 125 3 100 4897 2.000237850
5 123 3 100 93370 2.000237926
6 116 3 100 2363 2.000238563
11 125 3 100 4496 2.000239671
5 118 3 100 105612 2.000241456
5 124 3 100 4414 2.000241651
11 119 3 100 7420 2.000241962
5 122 3 100 6465 2.000242511
13 114 3 100 5172 2.000242707
9 115 3 100 1619 2.000246387
