# 流源IP 目的IP 优先级pg 目的端口 数据量(Bytes) 流开始时间(s)
# src 		dst 	pg    		dport  	 size				start_time
24895
7 119 3 100 154199 2.000000099
15 120 3 100 39478 2.000002784
15 125 3 100 335 2.000003571
14 119 3 100 444 2.000004450
9 127 3 100 782633 2.000007970
13 116 3 100 202 2.000007992
14 112 3 100 112789 2.000008146
6 126 3 100 321936 2.000008627
3 120 3 100 30349 2.000011509
13 118 3 100 557386 2.000013030
7 120 3 100 327 2.000014385
0 124 3 100 573 2.000018171
13 121 3 100 580 2.000023552
15 118 3 100 70639 2.000027219
14 114 3 100 181560 2.000032676
10 127 3 100 42385 2.000033271
6 121 3 100 159750 2.000034964
6 124 3 100 491 2.000035023
10 126 3 100 1840 2.000036385
4 117 3 100 44901 2.000044326
14 112 3 100 365 2.000046084
4 124 3 100 524 2.000052542
2 127 3 100 33904 2.000056191
12 116 3 100 12120 2.000062814
11 120 3 100 418 2.000064903
6 115 3 100 1866 2.000069270
7 115 3 100 1107 2.000074092
4 127 3 100 380 2.000074552
15 112 3 100 909 2.000081995
5 112 3 100 42292 2.000082064
10 112 3 100 279787 2.000082890
1 115 3 100 31811 2.000084513
6 127 3 100 357 2.000089011
2 120 3 100 74 2.000089123
8 113 3 100 805 2.000092524
5 118 3 100 315 2.000095364
1 112 3 100 901 2.000095519
2 116 3 100 520 2.000095778
8 127 3 100 300 2.000097155
6 125 3 100 560 2.000100686
4 113 3 100 642 2.000103070
3 112 3 100 540 2.000103160
6 121 3 100 669 2.000105426
8 120 3 100 616 2.000106799
10 125 3 100 191059 2.000106944
15 120 3 100 300 2.000107787
3 112 3 100 514826 2.000109017
4 115 3 100 51113 2.000111016
0 121 3 100 423 2.000111101
15 119 3 100 79674 2.000111314
12 112 3 100 130954 2.000112449
11 116 3 100 38517 2.000112834
1 118 3 100 38164 2.000114418
3 122 3 100 40814 2.000114418
9 115 3 100 927 2.000115146
10 117 3 100 244 2.000116381
11 127 3 100 332 2.000126080
0 122 3 100 543 2.000127510
6 119 3 100 371 2.000129099
1 112 3 100 55968 2.000129662
7 122 3 100 79339 2.000131422
4 121 3 100 58952 2.000132236
2 114 3 100 1762 2.000135273
1 125 3 100 687 2.000135517
12 125 3 100 324 2.000136560
6 121 3 100 675 2.000136996
8 127 3 100 470 2.000137206
11 117 3 100 3687 2.000138449
12 122 3 100 74 2.000138693
3 120 3 100 116528 2.000139073
0 112 3 100 38701 2.000140513
15 113 3 100 1923 2.000140655
12 116 3 100 36831 2.000140803
15 112 3 100 4244 2.000140909
0 117 3 100 178289 2.000141583
6 123 3 100 40102 2.000144386
9 114 3 100 6444 2.000149039
7 125 3 100 9962611 2.000150002
14 117 3 100 724 2.000150690
4 114 3 100 584 2.000154609
15 119 3 100 133 2.000156631
7 121 3 100 535 2.000158967
12 125 3 100 325 2.000160138
8 122 3 100 329 2.000162186
5 124 3 100 43610 2.000162664
2 119 3 100 622 2.000165787
14 113 3 100 438 2.000165938
10 117 3 100 1489 2.000168701
15 117 3 100 41499 2.000175198
2 115 3 100 1293884 2.000176005
2 122 3 100 557 2.000177051
5 120 3 100 205 2.000179371
15 125 3 100 320 2.000180181
5 122 3 100 653 2.000182505
14 125 3 100 627 2.000183066
13 115 3 100 603 2.000185749
9 121 3 100 639 2.000187748
3 117 3 100 942 2.000188839
13 119 3 100 201744 2.000192079
14 122 3 100 6327 2.000194307
2 125 3 100 5147 2.000194853
10 121 3 100 532 2.000196475
14 120 3 100 324 2.000199447
11 124 3 100 337 2.000201317
7 114 3 100 813 2.000201767
7 116 3 100 4401 2.000208810
0 127 3 100 653 2.000215909
15 121 3 100 383 2.000217494
12 121 3 100 156713 2.000218974
5 122 3 100 1886 2.000222305
2 125 3 100 4387 2.000224119
0 119 3 100 374 2.000224601
12 126 3 100 474 2.000224793
1 116 3 100 416 2.000226572
13 116 3 100 154 2.000226805
