# 流源IP 目的IP 优先级pg 目的端口 数据量(Bytes) 流开始时间(s)
# src 		dst 	pg    		dport  	 size				start_time
10271
14 126 3 100 294 2.000000038
10 123 3 100 356 2.000000063
10 126 3 100 290 2.000000148
7 122 3 100 151 2.000000159
9 126 3 100 73 2.000000182
3 122 3 100 174 2.000000185
14 125 3 100 82 2.000000267
7 127 3 100 154 2.000000272
8 122 3 100 1 2.000000290
11 120 3 100 256 2.000000394
15 112 3 100 2 2.000000404
14 123 3 100 246 2.000000417
2 120 3 100 339 2.000000509
8 113 3 100 92 2.000000555
2 123 3 100 291 2.000000582
11 124 3 100 4603 2.000000657
9 126 3 100 66 2.000000691
1 115 3 100 263 2.000000705
14 119 3 100 218 2.000000765
6 116 3 100 140 2.000000777
11 123 3 100 43 2.000000818
8 114 3 100 52 2.000000893
7 122 3 100 66 2.000000950
9 118 3 100 871 2.000001009
15 124 3 100 1 2.000001106
15 127 3 100 327 2.000001367
9 112 3 100 1 2.000001457
1 125 3 100 290 2.000001531
1 116 3 100 467 2.000001552
1 115 3 100 428 2.000001567
11 126 3 100 365 2.000001578
0 112 3 100 1 2.000001638
6 118 3 100 1 2.000001682
13 121 3 100 35 2.000001694
7 112 3 100 241 2.000001736
11 121 3 100 2 2.000001962
2 122 3 100 44 2.000001971
6 123 3 100 79 2.000002215
3 114 3 100 120 2.000002226
9 114 3 100 267 2.000002250
14 115 3 100 103 2.000002296
7 113 3 100 343 2.000002309
8 121 3 100 1318 2.000002390
11 126 3 100 390 2.000002503
2 121 3 100 257 2.000002678
3 124 3 100 1082 2.000002690
8 115 3 100 1 2.000002711
13 119 3 100 611 2.000002729
7 117 3 100 1032 2.000002808
0 117 3 100 440 2.000002918
0 127 3 100 47 2.000002930
13 115 3 100 39 2.000002955
14 119 3 100 20857 2.000003242
13 126 3 100 94 2.000003299
8 122 3 100 96 2.000003405
1 113 3 100 257 2.000003450
14 117 3 100 332 2.000003460
6 122 3 100 365 2.000003470
4 116 3 100 5723 2.000003501
0 127 3 100 152 2.000003514
6 126 3 100 101 2.000003526
11 119 3 100 43 2.000003630
14 123 3 100 128 2.000003666
6 117 3 100 722 2.000003893
0 124 3 100 551 2.000003965
10 127 3 100 537 2.000004034
15 112 3 100 69 2.000004038
11 120 3 100 264 2.000004077
11 114 3 100 401 2.000004123
13 120 3 100 237 2.000004224
4 113 3 100 1230 2.000004238
12 120 3 100 243 2.000004260
0 123 3 100 468 2.000004269
10 116 3 100 176 2.000004290
9 116 3 100 73 2.000004292
15 127 3 100 293 2.000004292
0 123 3 100 129 2.000004314
8 119 3 100 303 2.000004501
10 121 3 100 39 2.000004544
9 127 3 100 329 2.000004595
10 113 3 100 36 2.000004653
11 118 3 100 69 2.000004654
14 126 3 100 1 2.000004739
1 124 3 100 4975 2.000004780
8 115 3 100 1755 2.000004801
2 112 3 100 78 2.000004893
0 120 3 100 103 2.000004929
14 123 3 100 199 2.000005015
2 115 3 100 47 2.000005070
12 127 3 100 1080 2.000005075
3 117 3 100 459 2.000005133
9 125 3 100 488 2.000005167
10 119 3 100 81 2.000005173
4 119 3 100 10 2.000005222
9 120 3 100 473 2.000005226
5 112 3 100 322 2.000005299
11 114 3 100 323 2.000005323
4 125 3 100 31 2.000005381
