# 流源IP 目的IP 优先级pg 目的端口 数据量(Bytes) 流开始时间(s)
# src 		dst 	pg    		dport  	 size				start_time
6510
14 125 3 100 143223 2.000000108
14 127 3 100 25570 2.000000801
10 118 3 100 3177092 2.000013013
5 125 3 100 131736 2.000014177
1 125 3 100 16081 2.000021344
1 124 3 100 79668 2.000024920
3 123 3 100 6062 2.000029164
15 124 3 100 938435 2.000038934
12 125 3 100 17023 2.000042175
3 119 3 100 17449 2.000045656
10 127 3 100 1007 2.000047386
4 122 3 100 1659426 2.000047493
13 115 3 100 5193 2.000048601
1 125 3 100 22257 2.000098482
2 114 3 100 585281 2.000107766
11 112 3 100 16227 2.000107945
7 125 3 100 6597674 2.000108905
13 119 3 100 1537356 2.000111256
7 115 3 100 1293 2.000113858
0 115 3 100 22785 2.000128232
0 127 3 100 6110 2.000129245
13 116 3 100 122487 2.000129828
1 113 3 100 41039 2.000133097
10 119 3 100 5225096 2.000137588
9 125 3 100 69298 2.000147869
11 118 3 100 39896 2.000159799
3 119 3 100 27755 2.000163823
3 114 3 100 71910 2.000185905
12 125 3 100 144254 2.000187255
4 116 3 100 3083419 2.000221977
1 120 3 100 32412 2.000222899
11 126 3 100 3391212 2.000227113
2 112 3 100 19073180 2.000238838
3 126 3 100 77497 2.000289689
0 124 3 100 6753 2.000295549
1 124 3 100 34875 2.000299851
15 112 3 100 27534611 2.000301316
6 120 3 100 4119192 2.000321237
4 120 3 100 80556 2.000353813
12 127 3 100 72898 2.000356285
14 112 3 100 62184 2.000356299
13 119 3 100 54313 2.000371946
0 127 3 100 42930 2.000384039
1 115 3 100 25579505 2.000419992
7 112 3 100 3171 2.000450596
13 125 3 100 777716 2.000454213
6 125 3 100 1708844 2.000455283
1 127 3 100 13728 2.000465098
0 127 3 100 177264 2.000469186
0 125 3 100 21323 2.000470268
7 124 3 100 1513498 2.000498042
12 113 3 100 311741 2.000501751
1 116 3 100 2329 2.000510179
3 122 3 100 2360190 2.000540640
7 124 3 100 174243 2.000556107
1 123 3 100 67524 2.000578260
9 120 3 100 3816505 2.000580329
10 124 3 100 50788 2.000582266
0 116 3 100 1610737 2.000589376
15 116 3 100 57433 2.000603520
15 122 3 100 1065688 2.000612217
4 121 3 100 44887 2.000616200
14 113 3 100 6530 2.000620021
2 114 3 100 15532 2.000624238
6 115 3 100 1360220 2.000634496
11 126 3 100 37444 2.000634503
12 123 3 100 22849 2.000640313
11 124 3 100 60184 2.000645769
2 116 3 100 6644324 2.000646203
12 122 3 100 59454 2.000649749
12 113 3 100 7939 2.000653656
7 125 3 100 6319 2.000663911
14 127 3 100 63920 2.000677122
15 122 3 100 4200 2.000678252
8 126 3 100 491935 2.000697866
7 126 3 100 175521 2.000708200
9 125 3 100 1186290 2.000743646
7 120 3 100 33310 2.000763105
4 120 3 100 72965 2.000767320
5 120 3 100 26461 2.000799433
12 117 3 100 214061 2.000821708
15 117 3 100 25161 2.000822750
14 125 3 100 5802763 2.000827804
10 123 3 100 35027 2.000829445
15 125 3 100 706177 2.000836103
12 120 3 100 171013 2.000869531
2 115 3 100 19420 2.000876676
8 124 3 100 40038 2.000876847
15 117 3 100 2830 2.000883262
8 124 3 100 1447540 2.000886561
3 127 3 100 7762 2.000887725
6 112 3 100 27874921 2.000892725
5 113 3 100 4840782 2.000894104
8 125 3 100 29129 2.000903312
10 125 3 100 76161 2.000915995
15 119 3 100 709406 2.000933354
5 113 3 100 4245 2.000936711
1 119 3 100 1813394 2.000939384
3 121 3 100 5444109 2.000939388
6 114 3 100 43866 2.000950510
9 116 3 100 3508388 2.000962657
14 113 3 100 1644678 2.000967281
14 125 3 100 1033023 2.000968305
2 112 3 100 893733 2.000973942
14 122 3 100 9612 2.000983559
11 122 3 100 60876 2.000989828
4 127 3 100 2018 2.000994054
14 117 3 100 1610349 2.001005909
10 116 3 100 77585 2.001008804
2 121 3 100 4638416 2.001018245
9 112 3 100 23800 2.001027903
7 126 3 100 12541 2.001028438
8 122 3 100 21400104 2.001040872
8 125 3 100 3858816 2.001046403
7 123 3 100 52348 2.001048548
6 114 3 100 22046 2.001063201
8 115 3 100 1994524 2.001069322
11 120 3 100 1670 2.001092151
10 112 3 100 64176 2.001099286
14 120 3 100 38029 2.001120478
15 124 3 100 57447 2.001122298
2 122 3 100 7386728 2.001128109
13 119 3 100 1289168 2.001148121
11 122 3 100 1869755 2.001148463
6 121 3 100 1244652 2.001202426
15 124 3 100 33698 2.001226869
5 113 3 100 8046856 2.001251660
0 114 3 100 1144549 2.001253454
11 122 3 100 129612 2.001277635
13 112 3 100 26739 2.001279135
3 119 3 100 537943 2.001297952
2 118 3 100 4372359 2.001306594
6 115 3 100 18209 2.001326735
14 121 3 100 7160 2.001336118
6 116 3 100 23129 2.001338881
13 112 3 100 1024007 2.001349835
12 121 3 100 2746 2.001353068
8 116 3 100 2063603 2.001370247
10 120 3 100 597493 2.001394147
5 113 3 100 1425633 2.001402280
6 121 3 100 15971 2.001425532
7 118 3 100 62628 2.001435252
12 114 3 100 4498 2.001458608
10 121 3 100 3696889 2.001466898
13 119 3 100 139617 2.001479438
6 119 3 100 6971 2.001487393
1 112 3 100 43571 2.001507024
9 119 3 100 72149 2.001526556
8 122 3 100 2061 2.001543202
12 118 3 100 5763876 2.001570145
12 112 3 100 1208104 2.001588213
1 121 3 100 30551 2.001607305
9 120 3 100 54294 2.001612213
10 116 3 100 1207032 2.001615073
6 126 3 100 424389 2.001635944
15 125 3 100 32228 2.001636695
1 121 3 100 60430 2.001638811
7 126 3 100 49823 2.001656328
12 117 3 100 1475742 2.001669044
1 126 3 100 63078 2.001693536
4 113 3 100 51179 2.001709136
10 123 3 100 8863 2.001711744
4 119 3 100 7230729 2.001737186
11 121 3 100 5137 2.001750703
13 112 3 100 5254583 2.001750728
13 113 3 100 1380481 2.001758640
1 116 3 100 7790655 2.001797122
15 118 3 100 70000 2.001804363
0 125 3 100 2109882 2.001816196
14 121 3 100 3001773 2.001816949
10 125 3 100 61348 2.001851657
11 117 3 100 137755 2.001875091
0 127 3 100 672405 2.001876254
13 125 3 100 188182 2.001881473
9 123 3 100 4493645 2.001882000
14 112 3 100 56376 2.001885630
12 114 3 100 578277 2.001915718
11 125 3 100 1620480 2.001937977
14 115 3 100 1879581 2.001940663
2 118 3 100 63702 2.001940917
1 120 3 100 4128587 2.001957198
3 123 3 100 72422 2.001978534
4 119 3 100 20784 2.001987936
3 127 3 100 9597088 2.002021938
6 121 3 100 23817 2.002022099
7 117 3 100 27859235 2.002028553
12 113 3 100 609 2.002030231
13 118 3 100 11123084 2.002037527
14 113 3 100 24437 2.002046573
8 124 3 100 146205 2.002072637
7 124 3 100 7745678 2.002094592
4 121 3 100 70966 2.002103549
10 124 3 100 4677 2.002105604
3 126 3 100 71537 2.002116304
7 114 3 100 9434 2.002120045
0 117 3 100 73711 2.002124448
0 123 3 100 46122 2.002136029
2 123 3 100 29876 2.002142736
6 116 3 100 386620 2.002147486
9 114 3 100 805256 2.002158145
7 114 3 100 8178 2.002169550
3 113 3 100 113167 2.002176360
12 116 3 100 64864 2.002188764
2 127 3 100 6213 2.002209561
9 118 3 100 4124681 2.002210548
6 122 3 100 63150 2.002211094
0 118 3 100 2989446 2.002212676
3 120 3 100 3600728 2.002223387
11 117 3 100 20580331 2.002224301
13 114 3 100 1500724 2.002236050
2 123 3 100 2940547 2.002257278
10 113 3 100 53779 2.002267097
8 120 3 100 1579407 2.002273786
13 118 3 100 1056585 2.002301003
7 126 3 100 8659732 2.002335968
9 120 3 100 1238666 2.002340497
5 113 3 100 26541 2.002343150
8 124 3 100 1053455 2.002346057
3 114 3 100 406568 2.002362296
8 119 3 100 71078 2.002383581
8 112 3 100 22017 2.002383924
0 118 3 100 68982 2.002395859
4 113 3 100 35311 2.002403913
13 124 3 100 58543 2.002407481
4 127 3 100 95704 2.002425237
1 122 3 100 970852 2.002439750
1 117 3 100 66554 2.002440155
11 120 3 100 14349 2.002441761
5 118 3 100 36061 2.002461188
5 117 3 100 2557 2.002524807
12 122 3 100 48810 2.002533489
1 126 3 100 63927 2.002546754
2 116 3 100 64421 2.002552569
15 119 3 100 7275 2.002559519
0 127 3 100 7448 2.002569048
1 126 3 100 25722 2.002585163
3 113 3 100 28391 2.002593408
13 119 3 100 2722253 2.002599449
5 118 3 100 1945249 2.002601440
2 119 3 100 31294 2.002610404
11 115 3 100 27222 2.002615827
0 114 3 100 1067363 2.002633608
15 112 3 100 86679 2.002644599
14 112 3 100 77149 2.002651938
14 121 3 100 14929 2.002670507
12 123 3 100 5280477 2.002693328
4 121 3 100 1499900 2.002697340
6 119 3 100 21368 2.002714807
0 124 3 100 28824 2.002724297
4 115 3 100 4534 2.002734852
8 116 3 100 1020687 2.002745899
1 120 3 100 509152 2.002752670
9 124 3 100 16312822 2.002757811
0 126 3 100 4433114 2.002794829
9 123 3 100 57301 2.002816987
2 115 3 100 975845 2.002833860
0 118 3 100 17445 2.002864416
7 124 3 100 177337 2.002869732
11 119 3 100 27360 2.002874289
5 116 3 100 6579 2.002880201
11 127 3 100 7799 2.002893388
15 126 3 100 66720 2.002905870
2 112 3 100 880225 2.002919948
14 115 3 100 2337156 2.002926511
13 113 3 100 5806 2.002949232
2 115 3 100 1834995 2.002953007
0 115 3 100 8362578 2.002965858
4 127 3 100 23000 2.002990403
11 114 3 100 1963435 2.002995216
11 127 3 100 48516 2.002995325
11 116 3 100 1101367 2.003041328
0 121 3 100 7840935 2.003057060
8 124 3 100 76287 2.003059879
6 122 3 100 7551 2.003071767
1 120 3 100 105223 2.003087074
8 123 3 100 166344 2.003091122
2 127 3 100 14651 2.003091790
13 113 3 100 4913690 2.003093298
6 115 3 100 19727148 2.003099847
8 119 3 100 1624613 2.003108969
7 112 3 100 59629 2.003120282
1 125 3 100 54783 2.003138267
11 113 3 100 1294207 2.003142070
3 121 3 100 57232 2.003156052
3 124 3 100 32972 2.003156495
14 113 3 100 25667 2.003182818
5 114 3 100 129135 2.003188022
11 114 3 100 343219 2.003197271
15 125 3 100 51380 2.003213770
0 114 3 100 3880 2.003249852
0 112 3 100 49642 2.003270001
14 113 3 100 21324 2.003275267
1 115 3 100 886047 2.003282326
0 122 3 100 301447 2.003306977
0 117 3 100 2389627 2.003315204
0 121 3 100 795 2.003330212
1 125 3 100 4243393 2.003348317
13 124 3 100 4475203 2.003360694
8 126 3 100 4072234 2.003364562
5 125 3 100 4082 2.003394063
8 123 3 100 62972 2.003407775
1 124 3 100 18982 2.003423905
4 114 3 100 51570 2.003431554
9 118 3 100 20495 2.003436346
5 122 3 100 878810 2.003459300
7 124 3 100 6552794 2.003467093
7 119 3 100 48509 2.003467901
2 122 3 100 620506 2.003500078
14 114 3 100 9758830 2.003538823
